"SUID","AverageShortestPathLength","BetweennessCentrality","biogrid.ALIASES","biogrid.BIOGRID_ID","biogrid.ENTREZ_GENE","biogrid.OFFICIAL_SYMBOL","biogrid.ORGANISM_ID","biogrid.SYSTEMATIC_NAME","canonicalName","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","ID","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"133","4.12178457","0.0","SFRS13B|SFRS19|SRrp35","126428","135295","SRSF12","9606","RP11-63L7.3","SRSF12","0.24261336","1.0","2","6","135295","false","SRSF12","80.5","2","0","0","0.65313505","false","0","SRSF12","0","0.68803419"
"134","4.12178457","0.0","NP220|ZFML|Zfp638","118145","27332","ZNF638","9606",,"ZNF638","0.24261336","1.0","2","6","27332","false","ZNF638","80.5","2","0","0","0.65313505","false","0","ZNF638","0","0.68803419"
"135","4.12178457","0.0","CL1|CLICK1|DCAMKL1|DCDC3A|DCLK","114635","9201","DCLK1","9606","RP11-113P14.1","DCLK1","0.24261336","1.0","2","6","9201","false","DCLK1","80.5","2","0","0","0.65313505","false","0","DCLK1","0","0.68803419"
"136","4.12178457","0.0","","115689","10420","TESK2","9606",,"TESK2","0.24261336","1.0","2","6","10420","false","TESK2","80.5","2","0","0","0.65313505","false","0","TESK2","0","0.68803419"
"137","4.12178457","0.0","AIP-3|AIP3|BAIAP1|BAP-1|BAP1|MAGI-1|Magi1d|TNRC19|WWP3","114655","9223","MAGI1","9606","RP11-88H12.2","MAGI1","0.24261336","1.0","2","6","9223","false","MAGI1","80.5","2","0","0","0.65313505","false","0","MAGI1","0","0.68803419"
"138","4.12178457","0.0","EPLIN|SREBP3","119559","51474","LIMA1","9606","PP624","LIMA1","0.24261336","1.0","2","6","51474","false","LIMA1","80.5","2","0","0","0.65313505","false","0","LIMA1","0","0.68803419"
"139","4.12178457","0.0","E6TP1","117503","26037","SIPA1L1","9606",,"SIPA1L1","0.24261336","1.0","2","6","26037","false","SIPA1L1","80.5","2","0","0","0.65313505","false","0","SIPA1L1","0","0.68803419"
"140","4.12178457","0.0","4E-LP|4EHP|EIF4EL3|IF4e","114856","9470","EIF4E2","9606",,"EIF4E2","0.24261336","1.0","2","6","9470","false","EIF4E2","80.5","2","0","0","0.65313505","false","0","EIF4E2","0","0.68803419"
"141","4.12178457","0.0","ARHGAP34|FNBP2|SRGAP2A|SRGAP3","116956","23380","SRGAP2","9606","RP11-312O7.2","SRGAP2","0.24261336","1.0","2","6","23380","false","SRGAP2","80.5","2","0","0","0.65313505","false","0","SRGAP2","0","0.68803419"
"142","4.12178457","0.0","FISH|SH3MD1|TKS5","115002","9644","SH3PXD2A","9606",,"SH3PXD2A","0.24261336","1.0","2","6","9644","false","SH3PXD2A","80.5","2","0","0","0.65313505","false","0","SH3PXD2A","0","0.68803419"
"143","4.12178457","0.0","FAM31A|KIAA1608","121730","57706","DENND1A","9606","RP11-230L22.3","DENND1A","0.24261336","1.0","2","6","57706","false","DENND1A","80.5","2","0","0","0.65313505","false","0","DENND1A","0","0.68803419"
"144","4.12178457","0.0","SALM2","121668","57622","LRFN1","9606",,"LRFN1","0.24261336","1.0","2","6","57622","false","LRFN1","80.5","2","0","0","0.65313505","false","0","LRFN1","0","0.68803419"
"145","4.12178457","0.0","GYF1|PERQ1","122218","64599","GIGYF1","9606","PP3360","GIGYF1","0.24261336","1.0","2","6","64599","false","GIGYF1","80.5","2","0","0","0.65313505","false","0","GIGYF1","0","0.68803419"
"146","4.12178457","0.0","KSR|RSU2","114371","8844","KSR1","9606",,"KSR1","0.24261336","1.0","2","6","8844","false","KSR1","80.5","2","0","0","0.65313505","false","0","KSR1","0","0.68803419"
"147","4.12178457","0.0","GAKIN","116895","23303","KIF13B","9606",,"KIF13B","0.24261336","1.0","2","6","23303","false","KIF13B","80.5","2","0","0","0.65313505","false","0","KIF13B","0","0.68803419"
"148","4.12178457","0.0","NY-REN-45","119320","51133","KCTD3","9606","RP11-5F19.1","KCTD3","0.24261336","1.0","2","6","51133","false","KCTD3","80.5","2","0","0","0.65313505","false","0","KCTD3","0","0.68803419"
"149","4.51366559","0.0","76P|GCP-4|GCP4|Grip76","118078","27229","TUBGCP4","9606",,"TUBGCP4","0.22154942","0.0","1","7","27229","false","TUBGCP4","27.0","1","0","0","0.60959271","false","0","TUBGCP4","0","0.0"
"150","4.28054662","0.00436527","PA-PLA1|PAPLA1|SPG28","123318","80821","DDHD1","9606",,"DDHD1","0.23361502","0.0","8","7","80821","false","DDHD1","2.875","8","0","0","0.63549482","false","0","DDHD1","465112","0.14423077"
"151","4.2335209","0.0","INT|PDZD6|PDZK6","118034","27152","INTU","9606",,"INTU","0.23621001","0.0","1","6","27152","false","INTU","59.0","1","0","0","0.6407199","false","0","INTU","0","0.0"
"152","4.71623794","1.1308E-4","DNCL1B|Dlc2|RSPH22","126680","140735","DYNLL2","9606",,"DYNLL2","0.21203341","0.0","2","8","140735","false","DYNLL2","16.0","2","0","0","0.58708467","false","0","DYNLL2","14320","0.51724138"
